"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2382.4","","","","1"
"2012","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2387.7","","","","1"
"2013","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2435.2","","","","1"
"2014","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2479.7","","","","1"
"2015","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2505.9","","","","1"
"2016","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2536.5","","","","1"
"2017","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2598.9","","","","1"
"2018","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2674.6","","","","1"
"2019","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2759.4","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2624.5","","","","1"
"2021","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2773.2","","","","1"
"2022","Ontario","2016A000235","Employment","Services-producing sector","Males","15 years and over","Persons","249","thousands","3","v2366639","7.2.13.2.1","2856.4","","","","1"
"2011","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2872.6","","","","1"
"2012","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2890.6","","","","1"
"2013","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2961.3","","","","1"
"2014","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2966.5","","","","1"
"2015","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2974.3","","","","1"
"2016","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2979.7","","","","1"
"2017","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","3060.9","","","","1"
"2018","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","3094.5","","","","1"
"2019","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","3195.2","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","2985.9","","","","1"
"2021","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","3153.9","","","","1"
"2022","Ontario","2016A000235","Employment","Services-producing sector","Females","15 years and over","Persons","249","thousands","3","v2366809","7.2.13.3.1","3331.7","","","","1"


